source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,2570000,29884,86.0,4.0,3,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-po-remoncie-winda-parking-ID4wzpj,✅ 4 pokojowe po remoncie ✅ winda ✅ parking ✅,ul. Piękna,Śródmieście Południowe,Śródmieście,mazowieckie
otodom,849000,11958,71.0,3.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/goclaw-witoszynskiego-3-pokoje-ciche-zielono-ID4uRDt,"Gocław, Witoszyńskiego 3 pokoje, ciche, zielono",ul. Czesława Witoszyńskiego,Gocław,Praga-Południe,mazowieckie
otodom,,,37.49,2.0,1,pierwotny,1,2-pokojowe mieszkanie numer D-A017 na 1. piętrze w budynku A w Inwestycji Warszawski Świt VI Dewelopera Home Invest,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4ulSt,2-pokojowe mieszkanie 37m2 + balkon,ul. Piotra Wysockiego,Bródno,Targówek,mazowieckie
otodom,,,49.37,2.0,2,pierwotny,1,2-pokojowe mieszkanie numer 1-B29 na 2. piętrze w budynku B w Inwestycji Aura Mokotów I Dewelopera Mill-Yon,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-49m2-balkon-bezposrednio-ID4ug4G,2-pokojowe mieszkanie 49m2 + balkon Bezpośrednio,ul. Bluszczańska,Siekierki,Mokotów,mazowieckie
otodom,629000,17599,35.74,1.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/super-lokalizacjabielanymetro-slodowiec-ID4wc6E,*****Super lokalizacja***BIELANY***METRO Słodowiec,ul. Stefana Żeromskiego,Słodowiec,Bielany,mazowieckie
otodom,569000,16985,33.5,1.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/po-remoncie-osobna-kuchnia-bezposrednio-ID4sXjc,"Po remoncie, osobna kuchnia, bezpośrednio",ul. Siennicka 42,Grochów,Praga-Południe,mazowieckie
otodom,,,99.13,4.0,3,pierwotny,1,4-pokojowy loft numer M026 na 3. piętrze w Inwestycji Warzelnia by Bohema Dewelopera Okam Capital,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowy-loft-99m2-taras-bez-prowizji-ID4ujiw,4-pokojowy loft 99m2 + taras Bez Prowizji,ul. Szwedzka,Nowa Praga,Praga-Północ,mazowieckie
otodom,875000,13889,63.0,4.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-dolnym-mokotowie-ID4uTIW,3 pokojowe mieszkanie na dolnym Mokotowie,ul. Zwierzyniecka,Czerniaków,Mokotów,mazowieckie
otodom,799000,6914,115.56,5.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/segment-115m2-swietna-lokalizacja-450m-do-skm-ID4wxq1,Segment 115m2. Świetna lokalizacja-450m do SKM,Groszówka,Groszówka,Wesoła,mazowieckie
otodom,1450000,27831,52.1,2.0,2,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/1900-rok-najlepsza-lokalizacja-3-3-m-wysokosci-ID4wqSn,"1900 rok / Najlepsza lokalizacja / 3,3 m wysokości",ul. Aleje Ujazdowskie,Śródmieście Południowe,Śródmieście,mazowieckie
