source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;779 000 zł;16 062 zł/m²;48.5;2;;wtórny;Tak;;ul. Światowida, Tarchomin, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-tarchominie-ID4wzpb;2-Pokojowe mieszkanie na Tarchominie
otodom;3 248 700 zł;24 500 zł/m²;132.6;4;3/7;wtórny;Tak;;Muranów, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/apartament-4p-ul-stawki-taras-na-dachu-ID4u2IV;Apartament 4p ul. Stawki | Taras na dachu !
otodom;999 000 zł;14 708 zł/m²;67.92;3;;wtórny;Tak;;ul. Wyspowa 2, Zacisze, Targówek,  mazowieckie;2025-03-22;https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-dwupoziomowe-na-targowku-ID4rxrQ;BEZPOŚREDNIO mieszkanie dwupoziomowe na Targówku
otodom;;;;;;;;;;;https://www.otodom.pl/hpr/undefined;
otodom;Zapytaj o cenę;;86.53;4;3/5;pierwotny;Tak;4-pokojowe mieszkanie numer M056 na 3. piętrze w Inwestycji Stalowa Form 43.45 Dewelopera Dantex;ul. Stalowa, Nowa Praga, Praga-Północ,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-86m2-balkon-bez-prowizji-ID4uSkN;4-pokojowe mieszkanie 86m2 + balkon Bez Prowizji
otodom;535 000 zł;17 258 zł/m²;31;2;;wtórny;Tak;;Śródmieście Północne, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/bezposrednio-31m2-srodmiescie-1-2-pokoje-ID4wqvJ;Bezpośrednio 31m2 Śródmieście 1/2 pokoje
otodom;2 570 000 zł;29 884 zł/m²;86;4;3/5;wtórny;Tak;;ul. Piękna, Śródmieście Południowe, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowe-po-remoncie-winda-parking-ID4wzpj;✅ 4 pokojowe po remoncie ✅ winda ✅ parking ✅
otodom;849 000 zł;11 958 zł/m²;71;3;;wtórny;Tak;;ul. Czesława Witoszyńskiego, Gocław, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/goclaw-witoszynskiego-3-pokoje-ciche-zielono-ID4uRDt;Gocław, Witoszyńskiego 3 pokoje, ciche, zielono
otodom;Zapytaj o cenę;;37.49;2;1/6;pierwotny;Tak;2-pokojowe mieszkanie numer D-A017 na 1. piętrze w budynku A w Inwestycji Warszawski Świt VI Dewelopera Home Invest;ul. Piotra Wysockiego, Bródno, Targówek,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4ulSt;2-pokojowe mieszkanie 37m2 + balkon
otodom;Zapytaj o cenę;;49.37;2;2/2;pierwotny;Tak;2-pokojowe mieszkanie numer 1-B29 na 2. piętrze w budynku B w Inwestycji Aura Mokotów I Dewelopera Mill-Yon;ul. Bluszczańska, Siekierki, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-49m2-balkon-bezposrednio-ID4ug4G;2-pokojowe mieszkanie 49m2 + balkon Bezpośrednio
otodom;629 000 zł;17 599 zł/m²;35.74;1;;wtórny;Tak;;ul. Stefana Żeromskiego, Słodowiec, Bielany,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/super-lokalizacjabielanymetro-slodowiec-ID4wc6E;*****Super lokalizacja***BIELANY***METRO Słodowiec
otodom;569 000 zł;16 985 zł/m²;33.5;1;;wtórny;Tak;;ul. Siennicka 42, Grochów, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/po-remoncie-osobna-kuchnia-bezposrednio-ID4sXjc;Po remoncie, osobna kuchnia, bezpośrednio
otodom;Zapytaj o cenę;;99.13;4;3/3;pierwotny;Tak;4-pokojowy loft numer M026 na 3. piętrze w Inwestycji Warzelnia by Bohema Dewelopera Okam Capital;ul. Szwedzka, Nowa Praga, Praga-Północ,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowy-loft-99m2-taras-bez-prowizji-ID4ujiw;4-pokojowy loft 99m2 + taras Bez Prowizji
otodom;875 000 zł;13 889 zł/m²;63;4;;wtórny;Tak;;ul. Zwierzyniecka, Czerniaków, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-dolnym-mokotowie-ID4uTIW;3 pokojowe mieszkanie na dolnym Mokotowie
otodom;799 000 zł;6 914 zł/m²;115.56;5;;pierwotny;Tak;;Groszówka, Wesoła,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/segment-115m2-swietna-lokalizacja-450m-do-skm-ID4wxq1;Segment 115m2. Świetna lokalizacja-450m do SKM
