source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;899 000 zł;18 729 zł/m²;48;2;6/6;wtórny;Tak;;ul. Józefa Sowińskiego, Ulrychów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/2-pok-i-garaz-i-kom-lok-i-park-i-ostatnie-pietro-ID4wtT2;2 Pok I Garaż I Kom Lok I Park I Ostatnie Piętro
otodom;Zapytaj o cenę;;37.49;2;1/8;pierwotny;Tak;2-pokojowe mieszkanie numer M1.11 na 1. piętrze w Inwestycji Home Factory III Dewelopera Mostostal S. A.;ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-loggia-bezposrednio-ID4ulsu;2-pokojowe mieszkanie 37m2 + loggia Bezpośrednio
otodom;870 000 zł;18 163 zł/m²;47.9;2;2/4;wtórny;Tak;;ul. Obrzeżna 12, Służew, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/miejsce-parkingowe-w-cenie-teren-zamkniety-ID4szCA;Miejsce parkingowe w cenie ! / teren zamknięty
otodom;1 890 000 zł;17 966 zł/m²;105.2;3;4/12;wtórny;Tak;;ul. Łucka, Mirów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/przestronny-apartament-przy-metrze-daszynskiego-ID4w8xV;Przestronny Apartament Przy Metrze Daszyńskiego
otodom;2 599 999 zł;19 125 zł/m²;135.95;5;;wtórny;Tak;;ul. Rakowiecka, Stary Mokotów, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/kamienica-ostatnie-pietro-swietliki-ID4wiXh;Kamienica / Ostatnie Piętro / Świetliki
otodom;1 099 000 zł;15 847 zł/m²;69.35;3;;wtórny;Tak;;Pelcowizna, Praga-Północ,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/pelna-infrastruktura-plus-duzo-zieleni-ID4t867;Pełna infrastruktura plus dużo zieleni!
otodom;2 475 000 zł;20 975 zł/m²;118;4;;wtórny;Tak;;Jana Pohoskiego, Ksawerów, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/przestronny-apartament-118-m-ID4wrwR;Przestronny Apartament 118 M²
otodom;425 000 zł;15 729 zł/m²;27.02;2;4/10;wtórny;Tak;;ul. Teodora Duracza, Słodowiec, Bielany,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/bielany-przy-metrze-ID4wy27;Bielany, przy metrze !!!!
otodom;630 000 zł;20 455 zł/m²;30.8;2;parter/3;wtórny;Tak;;Mirów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/2-pokojowe-blisko-stacji-metra-onz-ID4wyjx;2 Pokojowe Blisko Stacji Metra Onz
otodom;899 000 zł;18 729 zł/m²;48;2;6/6;wtórny;Tak;;ul. Józefa Sowińskiego, Ulrychów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/hpr/pl/oferta/2-pok-i-garaz-i-kom-lok-i-park-i-ostatnie-pietro-ID4wtT2;2 Pok I Garaż I Kom Lok I Park I Ostatnie Piętro
otodom;699 000 zł;18 892 zł/m²;37;2;;wtórny;Tak;;ul. Korczyńska, Sadyba, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/2-osobne-pokoje-37m2-sadyba-ul-korczynska-lux-ID4wx7b;2 osobne pokoje,37m2,Sadyba,ul. Korczyńska/LUX
otodom;1 980 000 zł;25 194 zł/m²;78.59;3;4/12;wtórny;Tak;;Czyste, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/apartament-w-biznesowym-centrum-warszawy-ID4tJU8;Apartament W Biznesowym Centrum Warszawy
otodom;1 082 628 zł;32 068 zł/m²;33.76;1;2/9;pierwotny;Tak;1-pokojowe mieszkenie numer B1.35 położone na 2.piętrze w inwestycji Chmielna Duo;ul. Chmielna, Mirów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/chmielna-duo-mieszkanie-1-pok-b1-35-ID4nYBs;Chmielna Duo | mieszkanie 1-pok. | B1.35
otodom;1 845 000 zł;19 592 zł/m²;94.17;3;parter/5;wtórny;Tak;;Stegny, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/azurowe-okiennice-ogrod-100m2-taras-40m2-ID4w7im;Ażurowe Okiennice | Ogród 100M2 | Taras 40M2
otodom;835 000 zł;16 835 zł/m²;49.6;3;parter/4;wtórny;Tak;;ul. Sielecka 26, Sielce, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/taras-lazienki-warszawskie-okazja-ID4tpNx;Taras !/ Łazienki Warszawskie/ OKAZJA!
otodom;1 025 481 zł;17 322 zł/m²;59.2;3;1/3;pierwotny;Tak;3-pokojowe mieszkanie numer EA 0105 na 1. piętrze w budynku E w Inwestycji Spokojny Mokotów Dewelopera YIT Development;Marzycieli, Siekierki, Mokotów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-ID4ulTq;3-pokojowe mieszkanie 59m2 + balkon
otodom;555 000 zł;18 500 zł/m²;30;1;;wtórny;Tak;;ul. Jagiellońska 56, Nowa Praga, Praga-Północ,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/rezerwacja-pl-hallera-30m2-do-wprowadzenia-ID4wH3K;REZERWACJA, Pl. Hallera, 30m2, do wprowadzenia
otodom;809 000 zł;17 978 zł/m²;45;2;;wtórny;Tak;;ul. Optyków, Gocław, Praga-Południe,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/bezposrednio-sloneczny-apartament-park-skandynawia-ID4wrch;BEZPOŚREDNIO Słoneczny apartament Park Skandynawia
otodom;980 000 zł;17 500 zł/m²;56;3;;wtórny;Tak;;ul. Izabelli, Sady Żoliborskie, Żoliborz,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/ul-izabelli-20-zoliborz-3pok-56m2-ID4wbvo;Ul. Izabelli 20, ŻOLIBORZ - 3pok. - 56m2
otodom;740 000 zł;14 712 zł/m²;50.3;2;3/3;wtórny;Tak;;Okęcie, Włochy,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/okazja-2-pok-do-zamieszkania-z-wyposazeniem-ID4pa9k;Okazja 2 Pok. Do Zamieszkania| Z Wyposażeniem
otodom;Zapytaj o cenę;;82.24;4;5/5;pierwotny;Tak;4-pokojowe mieszkanie numer M5_16 na 5. piętrze w Inwestycji Orzechowa Dewelopera GH Development;ul. Orzechowa, Raków, Włochy,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4ui4i;4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio
otodom;770 000 zł;13 648 zł/m²;56.42;3;6/10;wtórny;Tak;;ul. Gąbińska, Słodowiec, Bielany,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojepark-olszynabielanypiwnicagaraz-16-24m-ID4woRI;3 Pokoje*Park Olszyna*Bielany*Piwnica*Garaż 16,24M
otodom;999 000 zł;15 835 zł/m²;63.09;3;;wtórny;Tak;;ul. gen. Meriana C. Coopera, Chrzanów, Bemowo,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/cicha-okolica-metro-lazurowa-zamkniete-osiedle-ID4uODf;Cicha Okolica / Metro Lazurowa / Zamknięte Osiedle
otodom;995 000 zł;24 875 zł/m²;40;2;;wtórny;Tak;;Danuty Siedzikówny 4, Koło, Wola,  mazowieckie;2025-03-29;https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-wola-ul-danuty-siedzikowny-4-ID4wHae;Mieszkanie Warszawa Wola ul. Danuty Siedzikówny 4
otodom;1 595 000 zł;20 449 zł/m²;78;2;;wtórny;Tak;;ul. abp. Józefa Teodorowicza, Błonia Wilanowskie, Wilanów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/apartament-na-sprzedaz-78m2-ID4wkzJ;Apartament na sprzedaż 78m2
otodom;;;;;;;;;;;https://www.otodom.pl/hpr/undefined;
otodom;599 000 zł;13 050 zł/m²;45.9;2;1/10;wtórny;Tak;;ul. Kuflewska, Targówek Mieszkaniowy, Targówek,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/funkcjonalne-i-przestronne-2-pok-targowek-ID4wogk;Funkcjonalne I Przestronne 2 Pok. - Targówek
otodom;1 200 000 zł;19 624 zł/m²;61.15;3;;wtórny;Tak;;ul. Wólczyńska 69b, Chomiczówka, Bielany,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-bielanach-61-m-garaz-ID4wzbz;3-Pokojowe Mieszkanie na Bielanach – 61 m² + GARAŻ
otodom;773 000 zł;14 986 zł/m²;51.58;2;2/2;wtórny;Tak;;ul. Ruczaj, Powsinek, Wilanów,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/wilanow-bez-zgielku-i-korkow-ID4tL9R;Wilanów Bez Zgiełku I Korków
otodom;889 440 zł;24 000 zł/m²;37.06;1;parter/3;wtórny;Tak;;ul. Bugaj, Stare Miasto, Śródmieście,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/starowka-200-m-park-fontann-parking-ID4wlEX;Starówka - 200 m Park Fontann, parking
otodom;399 000 zł;21 000 zł/m²;19;1;7;wtórny;Tak;;Wiktoryn, Raków, Włochy,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-w-nowej-inwestycji-2023-ID4wpte;Nowoczesna kawalerka w nowej inwestycji 2023
otodom;Zapytaj o cenę;;70.58;4;2/4;pierwotny;Tak;4-pokojowe mieszkanie numer M202 na 2. piętrze w Inwestycji Vista Wawer Dewelopera GH Development;ul. Tytoniowa, Marysin Wawerski, Wawer,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-70m2-balkon-bez-prowizji-ID4ujlf;4-pokojowe mieszkanie 70m2 + balkon Bez Prowizji
otodom;718 000 zł;17 276 zł/m²;41.56;2;;pierwotny;Tak;;ul. Zapałczana 4, Gocławek, Praga-Południe,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/nowe-mieszkania-w-kameralnym-budynku-na-goclawku-ID4sSJ5;Nowe Mieszkania w kameralnym budynku na Gocławku
otodom;2 650 000 zł;28 159 zł/m²;94.11;3;5/5;wtórny;Tak;;ul. Dobra, Powiśle, Śródmieście,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-w-kamienicy-z-winda-ID4wF8F;Dwupoziomowe mieszkanie w kamienicy z windą
otodom;1 379 000 zł;23 788 zł/m²;57.97;3;6/6;pierwotny;Tak;3-pokojowe mieszkanie numer AA0608 na 6. piętrze w budynku 1 w Inwestycji NU2 Warszawa Wola Dewelopera Skanska;ul. Zwrotnicza, Czyste, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-loggia-ID4uocw;3-pokojowe mieszkanie 57m2 + loggia
otodom;795 000 zł;15 932 zł/m²;49.9;2;7/7;wtórny;Tak;;ul. Żytnia, Młynów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/mieszkanie-o-powierzchni-rzeczywistej-59-9-m2-ID4q7NO;Mieszkanie o powierzchni rzeczywistej 59,9 m2
otodom;5 090 000 zł;79 531 zł/m²;64;2;> 10/52;wtórny;Tak;;ul. Złota, Śródmieście Północne, Śródmieście,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/luxury-1-bedroom-apartment-on-zlota-44-ID4w1ND;Luxury 1-bedroom apartment on Złota 44
otodom;860 000 zł;15 926 zł/m²;54;4;;wtórny;Tak;;ul. Marymoncka, Las Bielański, Bielany,  mazowieckie;2025-03-28;https://www.otodom.pl/pl/oferta/4-pokoje-54m2-doskonale-na-wynajem-z-umowami-ID4wxog;4 pokoje 54m2 doskonałe na wynajem z umowami
otodom;619 000 zł;11 408 zł/m²;54.26;3;parter/10;wtórny;Tak;;ul. Poleska, Targówek Mieszkaniowy, Targówek,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokoje-targowek-doskonala-lokalizacja-ID4twcY;3 Pokoje Targówek, Doskonała Lokalizacja.
otodom;580 000 zł;15 856 zł/m²;36.58;2;parter/3;wtórny;Tak;;ul. Pawia, Nowolipki, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/2-jasne-pokoje-swietna-lokalizacja-muranow-ID4wmc9;2 Jasne Pokoje | Świetna Lokalizacja | Muranów
otodom;2 618 000 zł;28 000 zł/m²;93.5;4;> 10/25;wtórny;Tak;;ul. Marcina Kasprzaka, Czyste, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-niesamowitym-widokiem-ID4wpt8;Nowoczesny apartament z niesamowitym widokiem
otodom;3 900 000 zł;63 934 zł/m²;61;2;> 10/52;wtórny;Tak;;ul. Złota, Śródmieście Północne, Śródmieście,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/apartament-na-zlotej-44-z-widokiem-na-pkin-ID4wFeX;Apartament na Złotej 44 z widokiem na PkiN
otodom;4 050 000 zł;64 082 zł/m²;63.2;2;> 10/52;wtórny;Tak;;ul. Złota, Śródmieście Północne, Śródmieście,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/spectacular-apartment-on-42nd-floor-on-zlota-44-ID4wFwj;Spectacular apartment on 42nd floor on Złota 44
otodom;809 000 zł;17 978 zł/m²;45;2;;wtórny;Tak;;ul. Optyków, Gocław, Praga-Południe,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/bezposrednio-sloneczny-apartament-park-skandynawia-ID4wrch;BEZPOŚREDNIO Słoneczny apartament Park Skandynawia
otodom;980 000 zł;17 500 zł/m²;56;3;;wtórny;Tak;;ul. Izabelli, Sady Żoliborskie, Żoliborz,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/ul-izabelli-20-zoliborz-3pok-56m2-ID4wbvo;Ul. Izabelli 20, ŻOLIBORZ - 3pok. - 56m2
otodom;770 000 zł;13 648 zł/m²;56.42;3;6/10;wtórny;Tak;;ul. Gąbińska, Słodowiec, Bielany,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojepark-olszynabielanypiwnicagaraz-16-24m-ID4woRI;3 Pokoje*Park Olszyna*Bielany*Piwnica*Garaż 16,24M
otodom;805 000 zł;23 887 zł/m²;33.7;2;;wtórny;Tak;;ul. Waliców 19, Mirów, Wola,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/warszawa-wola-walicow-krochmalna-ID4wuLZ;Warszawa, Wola, Waliców, Krochmalna
otodom;789 000 zł;12 934 zł/m²;61;3;;wtórny;Tak;;ul. Edwarda Wittiga 4, Tarchomin, Białołęka,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/3-pokojowe-tarchomin-od-wlasciciela-bez-prowizji-ID4wx5V;3-pokojowe Tarchomin od właściciela bez prowizji
otodom;849 000 zł;16 980 zł/m²;50;3;;wtórny;Tak;;Grochów, Praga-Południe,  mazowieckie;2025-03-30;https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-praga-poludnie-ID4tOzr;Mieszkanie na sprzedaż Praga - Południe
